movie_id,title,year,runtime,genres,actor_ids
tt6783094,Small Deaths,2020,90,Drama,"nm9012970,nm9012996,nm9491185,nm1717448"
tt6794504,Last Three Days,2020,86,"Action,Crime,Mystery","nm4981388,nm0114787,nm6606770,nm2739969"
tt6802204,Summer Dew,2020,99,Drama,"nm3810545,nm0059824,nm0019713,nm1955385"
tt7616020,Yellow Sunglasses,2020,98,Comedy,"nm3819338,nm4345001,nm12276161,nm4344684"
tt7629464,First Blush,2020,107,"Comedy,Drama,Romance","nm4131336,nm5259030,nm4806426,nm8407209"
tt8333418,The Last Laugh,2020,81,Horror,"nm8687086,nm5454995,nm1078521,nm0227178"
tt9101912,Polvere,2020,\N,Drama,"nm2734697,nm3642867"
tt9102084,Fried Barry,2020,99,"Comedy,Horror,Sci-Fi","nm3018903,nm1517204,nm2467118"
tt9129362,The Last Conception,2020,85,"Comedy,Drama,Family","nm0542000,nm3641927,nm7829340,nm0081116"
tt9133722,Have a Good Night,2020,126,Drama,"nm12197156,nm12197157,nm10177550,nm12197155"
tt9139586,Arkansas,2020,117,"Crime,Thriller","nm2955013,nm1939016,nm0005258,nm0241173"
tt12379524,Hame ochi inkô: Waisetsu na kizuna,2020,\N,\N,"nm9538680,nm9535242,nm8674239,nm10364921,nm1092369,nm1922588,nm11604223,nm7392140"
tt12416808,Teacher Bear: Learn About Easter,2020,58,"Adventure,Animation,Family","nm9898052,nm11618955"
tt12416940,Long Live King David,2020,60,Documentary,"nm2295688,nm4502814,nm4400726,nm11621723"
tt12392662,Soul Snatcher,2020,125,"Action,Fantasy","nm11603589,nm9112773,nm11893895,nm3254401"
tt10332690,An Unquiet Grave,2020,72,"Drama,Horror","nm4683875,nm5332738"
tt10338290,A Mulher sem Corpo,2020,80,Drama,"nm0896695,nm0117616,nm10696709,nm10696707,nm1246622,nm0261239,nm10696708,nm1280761"
tt10339624,The One,2020,\N,Horror,"nm9195401,nm0304430,nm8953979,nm9842403,nm7235199,nm5739955,nm10967911,nm3009359,nm10936504"
tt10344522,Four Good Days,2020,100,Drama,"nm0005109,nm0303013,nm0000335,nm0740535"
tt10867576,An Exquisite Meal,2020,\N,"Comedy,Thriller","nm7825207,nm3712662,nm3614231,nm9781875"
